OBJECTID,SOURCEID,URL,CACHED,OBJECTTYPE
11000,AbsolutDB,http://bollywoodnewsonline.com/wp-content/uploads/2013/01/Priyanka-Chopra.jpg,0,photo
12000,AbsolutDB,http://www.hdwallpapers3d.com/wp-content/uploads/Priyanka-Chopra-01.jpg,0,photo
13000,AbsolutDB,http://www.indiantelevision.com/images23/aac502.jpg,0,photo
14000,AbsolutDB,http://2.bp.blogspot.com/-V7n8O6qGYjs/Ua-TlfR210I/AAAAAAAABkM/B97yyNuJtCg/s1600/priyanka+chopra+wallpapers+bestfunforall+(4).jpg,0,photo
15000,AbsolutDB,http://static.ibnlive.in.com/pix/slideshow/12-2012/priyanka-chopra-performs/prianca2.jpg,0,photo
16000,AbsolutDB,http://gallery.oneindia.in/ph-big/2011/10/priyanka-chopra_131831467015.jpg,0,photo
17000,AbsolutDB,http://images.cinebag.com/photos//2013/06/Priyanka-Chopra-7.jpg,0,photo
18000,AbsolutDB,http://im.rediff.com/movies/2013/sep/24dangerous-online-celebrities1.jpg,0,photo
19000,AbsolutDB,http://wallpaperpassion.com/upload_puzzle_thumb1/38805/priyanka-chopra-in-krrish-3-wallpaper.jpg,0,photo
20000,AbsolutDB,http://www.muskurahat.us/wallpapers/images/priyanka-chopra-2_1.jpg,0,photo
21000,AbsolutDB,http://www.pardaphash.com/uploads/images/660/hot-priyanka-chopra-80763.jpg,0,photo
22000,AbsolutDB,http://funzmod.com/wp-content/uploads/2013/02/Actress-Priyanka-Chopra-Hot-Fashion-Styles-Pictures-6.jpg,0,photo
23000,AbsolutDB,http://media2.intoday.in/indiatoday/images/stories//2012december/priyanka-chopra-2_121012031621.jpg,0,photo
24000,AbsolutDB,http://www.pinkvilla.com/files/images/301382_162844367172774_233236579_n.preview.jpg,0,photo
25000,AbsolutDB,http://1.bp.blogspot.com/-5KwqdFEKS1I/UjRHBZVolXI/AAAAAAAADpg/ifQkC_t6yMg/s1600/priyanka+chopra+photo+shoot.jpg,0,photo
1000,AbsolutDB,http://images.smh.com.au/2010/07/20/1703375/sachin_tendulkar-420x0.jpg,0,photo
2000,AbsolutDB,https://idigid.files.wordpress.com/2012/03/129827.jpg,0,photo
3000,AbsolutDB,http://www.centralchronicle.com/wp-content/uploads/2012/03/Sachin-tendulkar.jpg,0,photo
4000,AbsolutDB,http://static.guim.co.uk/sys-images/Sport/Pix/pictures/2011/7/1/1309528089795/Sachin-Tendulkar-007.jpg,0,photo
5000,AbsolutDB,http://blogs.tribune.com.pk/wp-content/uploads/2013/10/19190-Sachin-1381562142-785-640x480.JPG,0,photo
6000,AbsolutDB,http://upload.wikimedia.org/wikipedia/commons/7/72/Master_Blaster_at_work.jpg,0,photo
7000,AbsolutDB,http://www.smh.com.au/ffximage/2008/02/03/tendulkar_narrowweb__300x4350.jpg,0,photo
